,distortion,precision,risk_aversion,loc_bias,date_begin,date_end,monkey,condition,n,average-p
0,0.01,7.957422374620205,0.75,-20.0,2020-06-25,2020-10-25,Ola,gain,410,0.9026745736265612
0,0.01,2.7977512583736184,0.1985044705147199,-10.857303603837341,2020-06-25,2020-10-25,Ola,loss,407,0.9008768757940856
0,4.0,1.9721255177153796,0.75,5.239423646398409,2020-06-25,2020-10-25,Abr,gain,944,0.7901687683752544
0,0.3483970574213161,1.0688138023743932,0.09569604385552996,1.356968356888075,2020-06-25,2020-10-25,Abr,loss,895,0.6327619395657977
0,1.9694679165591886,5.545406937333652,-0.3749256007027589,0.42106108454568214,2020-06-25,2020-10-25,Nem,gain,402,0.5040866330682945
0,2.3532175532377186,2.5736147702072714,-0.4706558574636172,1.4748189962030689,2020-06-25,2020-10-25,Nem,loss,411,0.52095755700983
0,1.5638205059732002,0.5280328777531069,-0.08830031565073404,0.9644172265125028,2020-06-25,2020-10-25,Alv,gain,917,0.6734251744800442
0,3.426988486359867,1.3358311381815113,-0.6270310152234895,0.8836648204612625,2020-06-25,2020-10-25,Alv,loss,933,0.5681346809556647
0,0.01,7.371783446723588,0.75,20.0,2020-06-25,2020-10-25,Ner,gain,251,0.8983926425979968
0,4.0,4.45061852324058,0.75,12.977286991706148,2020-06-25,2020-10-25,Ner,loss,219,0.8188950023578594
0,4.0,1.1640490660001235,-0.18840285712395166,2.3807279649817934,2020-06-25,2020-10-25,Ala,gain,806,0.6700623218301835
0,2.7259490223169167,2.321399417896759,-1.3098781473857142,3.158269100903464,2020-06-25,2020-10-25,Ala,loss,851,0.5764173480189838
0,1.8850964836402908,2.2841398463283538,-0.49471262071613825,3.525316146894382,2020-06-25,2020-10-25,Bar,gain,1166,0.6521224607318958
0,2.309653614608865,1.8254755563823437,-0.5983817172665822,1.2003890574165874,2020-06-25,2020-10-25,Bar,loss,1169,0.5710544469898222
0,4.0,4.54603003381189,-0.8134420220263998,7.303081141234771,2020-06-25,2020-10-25,Ces,gain,642,0.6593371405714515
0,3.65374986397698,0.8001168945783077,-0.42624930649293946,0.5304321545493748,2020-06-25,2020-10-25,Ces,loss,637,0.5765057135481637
0,0.6239588249603152,1.623427483974717,-0.49605409167074543,1.3769850457817023,2020-06-25,2020-10-25,Oli,gain,536,0.589209130440898
0,2.9588660996676603,2.5247994942938443,-0.5581182208222599,0.7939519332630744,2020-06-25,2020-10-25,Oli,loss,499,0.533432241154949
0,0.1664664355701007,2.594590123112715,0.75,3.846967973305133,2020-06-25,2020-10-22,Pac,gain,261,0.6473836892355952
0,3.4773137326642147,1.4871778157245263,-0.8061464735968965,-0.1594614707215983,2020-06-25,2020-10-22,Pac,loss,269,0.521093910099907
0,3.532697141707562,8.39222073180279,0.75,9.135831687411905,2020-06-25,2020-10-25,Dor,gain,307,0.5694164912765867
0,2.985724781518198,1.5327698660327722,-1.1592455197903795,0.8697693251425376,2020-06-25,2020-10-25,Dor,loss,311,0.5508653233860566
0,4.0,6.964546815187174,0.75,12.10718039285122,2020-06-25,2020-10-21,Anu,gain,399,0.6479811560820008
0,1.613857021026915,2.7134437124247004,-0.22944197766865781,3.7253076381814436,2020-06-25,2020-10-21,Anu,loss,409,0.5900481004685688
0,3.089456891558033,3.020717298937293,0.06384200601023682,8.412341182196515,2020-06-25,2020-10-08,Yoh,gain,468,0.7917160422896711
0,1.4488837961273688,2.0665716570790256,-0.25101262644074024,1.8941149286462966,2020-06-25,2020-10-08,Yoh,loss,478,0.5763595445706754
0,4.0,3.8430587404507888,0.75,-3.8695929325334033,2020-07-14,2020-10-24,Las,gain,1067,0.5623010923073392
0,0.01,3.3836826181223163,-0.5458384079449918,-2.739238848989045,2020-07-15,2020-10-24,Las,loss,1057,0.541333427730903
0,0.011082939237267561,3.431861930514105,0.75,7.828118244679022,2020-06-26,2020-10-25,Yin,gain,185,0.7046895716523597
0,4.0,4.098807992590429,0.57447820975759,9.637419329265814,2020-06-26,2020-10-25,Yin,loss,199,0.7303309325850575
