,Parameter,Used to simulate,Recovered
0,distortion,1.4396238977089928,1.8
1,precision,7.603281312193071,3.736020189819033
2,risk_aversion,-0.2048209508597204,0.0605416710879604
3,distortion,0.7797994034551814,0.2
4,precision,9.830296737338058,10.0
5,risk_aversion,0.056797081223797674,0.99
6,distortion,0.5243748816943661,0.6759751545947889
7,precision,3.20682703177696,4.508867535212749
8,risk_aversion,-0.754117139600616,-0.8672596828293517
9,distortion,0.9451755949695686,1.7328705978713723
10,precision,4.057037646457123,9.099198148191523
11,risk_aversion,-0.38968564706422726,0.02839025094189524
12,distortion,0.6110235525281139,0.3950838823664303
13,precision,2.7858601617257883,2.1181149018616683
14,risk_aversion,-0.1876607309149272,-0.10374880547654666
15,distortion,1.1208232994152365,0.9114812137978112
16,precision,5.599492868122193,10.0
17,risk_aversion,-0.5618831834622466,-0.9044196079094743
18,distortion,0.4256572348636873,0.35996574041112145
19,precision,2.1680455192963204,1.8292300656644163
20,risk_aversion,0.35624102566571314,0.99
21,distortion,0.3431470563239767,0.3698715138075832
22,precision,5.368617161655453,2.4949084725468937
23,risk_aversion,-0.30366596565071924,0.25879378084154525
24,distortion,0.21777718898094564,0.2784473524569008
25,precision,2.7439402902224304,10.0
26,risk_aversion,0.19050121020636102,-0.1433512452950933
27,distortion,1.1853021672599888,0.2
28,precision,8.284463567018657,4.478612601037198
29,risk_aversion,0.18211544582222117,0.6915583888816825
30,distortion,1.7267632813703675,0.34351481474413464
31,precision,5.01869128092487,5.513202585508777
32,risk_aversion,0.9022270354074666,0.2656834166603689
33,distortion,0.7688289671042676,0.6826043750745516
34,precision,1.0302616156996125,0.9909845390336641
35,risk_aversion,0.034765987858613956,-0.1137994669309853
36,distortion,1.5015345195682517,1.8
37,precision,3.909992015024658,3.856461878951026
38,risk_aversion,0.8214464934077399,0.9794477860144579
39,distortion,1.654888043914679,1.1328282085119759
40,precision,3.6069199609948446,5.120681143044022
41,risk_aversion,-0.6398753674451145,-0.99
42,distortion,0.57818557901073,0.7215910847620504
43,precision,8.768143558934788,5.929866466600814
44,risk_aversion,0.6579565835286456,0.4451315511584391
45,distortion,0.39455974032207985,0.924316371549384
46,precision,4.198810067562317,9.392746595466216
47,risk_aversion,0.09567296274813675,-0.99
48,distortion,0.6602136850179164,1.8
49,precision,6.591393875244492,5.853521982705157
50,risk_aversion,-0.18759497949750648,0.8639529560326903
51,distortion,0.4701960530405675,0.2
52,precision,8.431341493650638,10.0
53,risk_aversion,-0.5994298944751468,-0.7572324812176535
54,distortion,1.5119724880461831,1.6752407332474653
55,precision,0.9515376380052052,1.0716831093725332
56,risk_aversion,0.8471646582993622,0.941571087870048
57,distortion,1.1498409411505144,1.0222421871123697
58,precision,7.111558199431349,10.0
59,risk_aversion,-0.9696334920557194,-0.99
60,distortion,0.844648866104726,0.3101685757505037
61,precision,2.130851495282917,1.5135648607955936
62,risk_aversion,0.8810699777852593,0.5798066418214164
63,distortion,0.4022184430705025,0.4229037513993338
64,precision,6.959087420030422,2.1188001988353573
65,risk_aversion,-0.7736772025664875,-0.02316013167832005
66,distortion,1.341831430074349,0.2346920951691183
67,precision,4.540651459516086,6.077203473024339
68,risk_aversion,-0.4486043095876622,-0.7941127832333261
69,distortion,1.1026295649213314,1.8
70,precision,6.048452657469791,2.0468561955481372
71,risk_aversion,0.0026699363910326346,0.714697661945604
72,distortion,0.817573188366463,0.5925107806933354
73,precision,4.790540809086786,1.9596129577580603
74,risk_aversion,-0.29036796060523085,-0.033373018192317576
75,distortion,0.7142240797974779,0.8469227191747641
76,precision,9.722945451895358,5.995426261868226
77,risk_aversion,-0.3860440826265582,-0.46384797846903647
78,distortion,1.452984116408957,0.9209330029150495
79,precision,4.215694171247753,1.4484375770243403
80,risk_aversion,0.8778513439256779,0.7302697545751843
81,distortion,0.9041296201382767,0.7353777522029088
82,precision,2.106990824707038,1.2115798735537306
83,risk_aversion,-0.39019201223746813,-0.18881718003716982
84,distortion,1.646087628453365,1.7138573063216982
85,precision,5.794155357198711,3.493719278860118
86,risk_aversion,-0.14526028307063976,0.20729150291712684
87,distortion,0.8763036490487641,0.9416443806877106
88,precision,0.9485410609819092,1.7497354430330962
89,risk_aversion,0.8640755531740685,0.8548062871242535
