,monkey,gain-distortion,gain-risk_aversion,gain-precision,gain-side_bias,gain-n_trial,loss-distortion,loss-risk_aversion,loss-precision,loss-side_bias,loss-n_trial
0,Abr,0.6659555247696747,0.6538130075967317,0.1874765822809218,-0.12370133938548632,17569,0.712843730823772,-0.26278471481259513,0.306783565995157,-0.09406768531949611,17580
1,Ala,1.3293388119670204,0.24202013342688733,0.11519438433204665,0.02524763397034477,19466,1.0730373616966262,-0.49478857946664867,0.1377192389766988,-0.05264708108394904,19316
2,Bar,1.009823600376891,-0.17312841240530516,0.13392478554241294,-0.002356091373529649,25956,0.7979401281812353,-0.6612339559155523,0.11904014177702406,-0.060378265895014445,25897
3,Ces,0.6576525533190686,0.6156490682444189,0.1547638044177067,0.13745784067094105,13756,0.8648468286946279,-0.1445956993516326,0.185070897523367,0.09213780554049876,13742
4,Gladys,1.0389707223301086,-0.003086568692548571,0.12741541619968005,-0.01522417045583706,13975,0.6054561285726863,-0.5573476362378887,0.23753714380487603,-0.026403730973792502,16841
5,Havane,0.6343661985565232,0.33970647154382755,0.15451082386780743,0.03688037068211458,9700,0.3548318693153545,-0.6206016948856803,0.1454026768687315,-0.11314162493826178,14388
6,Nem,0.7789694974917524,0.4393631833313557,0.20924822036951266,0.1664509459602023,12232,0.7897379320887319,-0.2173222531292231,0.13061716479964278,0.10056769816747493,12241
7,Pac,0.5840784217605669,0.4650557422576097,0.1535387390674216,0.19776495426007593,5848,0.4817473394635332,-0.7750251306431966,0.26106363688247636,-0.30768067899532814,5833
8,Yoh,1.0304366313459359,0.7344962978841388,0.2888658089920155,0.5482937553644975,6325,0.8300625139585651,-0.6518954455622519,0.22574089492969188,-0.1417860499789782,6311
